rank,kudos,views,comments,status,subject,url,post_time
1,10,379,3,new,Streamline New Email Notifications,https://connect.mozilla.org/t5/ideas/streamline-new-email-notifications/idi-p/122954,2026-04-15T23:30:36.477-07:00
2,8,399,5,new,Feature request: Warning when sending from the wrong account (multi-account setups),https://connect.mozilla.org/t5/ideas/feature-request-warning-when-sending-from-the-wrong-account/idi-p/122426,2026-04-09T11:56:13.960-07:00
3,6,177,2,new,Right click>>>show all messages from this sender (or domain),https://connect.mozilla.org/t5/ideas/right-click-gt-gt-gt-show-all-messages-from-this-sender-or/idi-p/123327,2026-04-21T11:38:10.445-07:00
4,4,219,3,new,Request for Restoration of Find Bar Match Count (Functional Regression,https://connect.mozilla.org/t5/ideas/request-for-restoration-of-find-bar-match-count-functional/idi-p/122349,2026-04-08T07:12:36.290-07:00
5,4,226,2,new,"Bring Firefox VPN Functionality to Thunderbird (for Windows, Android, iOS)",https://connect.mozilla.org/t5/ideas/bring-firefox-vpn-functionality-to-thunderbird-for-windows/idi-p/121808,2026-04-02T05:57:19.457-07:00
6,3,221,2,new,Chrome-apps equivalent in Thunderbird Desktop,https://connect.mozilla.org/t5/ideas/chrome-apps-equivalent-in-thunderbird-desktop/idi-p/122229,2026-04-07T02:45:31.421-07:00
7,3,162,2,new,Thunderbird resetting index,https://connect.mozilla.org/t5/ideas/thunderbird-resetting-index/idi-p/121730,2026-04-01T11:05:55.893-07:00
8,2,86,2,new,"Thunderbird, please mark Drafts in All Mail as DRAFTS!!!",https://connect.mozilla.org/t5/ideas/thunderbird-please-mark-drafts-in-all-mail-as-drafts/idi-p/124157,2026-04-29T12:20:10.913-07:00
9,2,149,3,new,"When using Unified Inbox, the Message List does not indicate which email account.",https://connect.mozilla.org/t5/ideas/when-using-unified-inbox-the-message-list-does-not-indicate/idi-p/123555,2026-04-23T12:48:24.105-07:00
10,2,188,3,new,"Drag and Drop name and email address from received mail view tab/window to compose window To:, Cc:",https://connect.mozilla.org/t5/ideas/drag-and-drop-name-and-email-address-from-received-mail-view-tab/idi-p/123160,2026-04-18T16:23:26.891-07:00
11,2,130,2,new,Specify on a per-website basis which emails show up to autopopulate,https://connect.mozilla.org/t5/ideas/specify-on-a-per-website-basis-which-emails-show-up-to/idi-p/123089,2026-04-17T11:30:42.186-07:00
12,2,221,2,new,Recent folder destinations list limited to folders newer than 31 days,https://connect.mozilla.org/t5/ideas/recent-folder-destinations-list-limited-to-folders-newer-than-31/idi-p/123066,2026-04-17T04:50:03.197-07:00
13,2,203,4,new,Searching with CTRL + F opens a search window to filter all mailboxes and especially email folders.,https://connect.mozilla.org/t5/ideas/searching-with-ctrl-f-opens-a-search-window-to-filter-all/idi-p/122458,2026-04-09T18:09:35.683-07:00
14,1,84,2,new,"Allow to filter emails where ""from"" is same as ""to""",https://connect.mozilla.org/t5/ideas/allow-to-filter-emails-where-quot-from-quot-is-same-as-quot-to/idi-p/124210,2026-04-30T06:35:01.187-07:00
15,1,144,2,new,Thunderbird idea : Multi device settings synchronisation (accounts + settings),https://connect.mozilla.org/t5/ideas/thunderbird-idea-multi-device-settings-synchronisation-accounts/idi-p/123848,2026-04-26T10:33:57.838-07:00
16,1,106,2,new,"add field with my ability to make a short ""comment to myself"" for any specific email.",https://connect.mozilla.org/t5/ideas/add-field-with-my-ability-to-make-a-short-quot-comment-to-myself/idi-p/123725,2026-04-25T03:27:49.821-07:00
17,1,146,2,new,Auto-detect emoticons in Thunderbird :-),https://connect.mozilla.org/t5/ideas/auto-detect-emoticons-in-thunderbird/idi-p/122728,2026-04-13T01:57:46.371-07:00
18,1,159,2,new,Correct and intuitive handling of events in Thunderbird calendar,https://connect.mozilla.org/t5/ideas/correct-and-intuitive-handling-of-events-in-thunderbird-calendar/idi-p/122423,2026-04-09T09:39:54.701-07:00
19,1,248,6,new,Making View|Headers|All/Normal Switch More Accessible,https://connect.mozilla.org/t5/ideas/making-view-headers-all-normal-switch-more-accessible/idi-p/121937,2026-04-03T15:44:34.857-07:00
20,1,228,4,declined,Suggest better timing for folder compaction,https://connect.mozilla.org/t5/ideas/suggest-better-timing-for-folder-compaction/idi-p/121915,2026-04-03T08:38:40.706-07:00
