rank,topic,count,percent_of_total,question_ids
1,Send/Receive issues,191,26.1,1573881;1573912;1573938;1573943;1573968;1573974;1574029;1574031;1574039;1574041;1574045;1574050;1574119;1574136;1574137;1574173;1574205;1574206;1574218;1574223;1574301;1574302;1574346;1574365;1574389;1574401;1574414;1574665;1574667;1574674;1574702;1574820;1574879;1574889;1574896;1574901;1574962;1574977;1575055;1575085;1575090;1575093;1575117;1575188;1575214;1575215;1575236;1575283;1575286;1575292;1575322;1575363;1575377;1575415;1575416;1575437;1575479;1575482;1575508;1575519;1575536;1575544;1575559;1575564;1575582;1575587;1575593;1575624;1575633;1575651;1575670;1575676;1575723;1575725;1575769;1575792;1575794;1575805;1575822;1575868;1575881;1575911;1575915;1575924;1575952;1576021;1576038;1576077;1576083;1576129;1576182;1576223;1576459;1576487;1576515;1576532;1576553;1576564;1576600;1576642;1576680;1576702;1576727;1576732;1576746;1576766;1576770;1576781;1576787;1576811;1576841;1576852;1576888;1576889;1576912;1576928;1576930;1577044;1577045;1577052;1577102;1577230;1577237;1577249;1577270;1577284;1577287;1577290;1577291;1577327;1577361;1577378;1577387;1577409;1577428;1577464;1577480;1577528;1577573;1577581;1577636;1577649;1577692;1577724;1577745;1577772;1577787;1577871;1577910;1577954;1577963;1578063;1578070;1578181;1578304;1578364;1578400;1578407;1578512;1578523;1578533;1578620;1578671;1578672;1578735;1578791;1578792;1578797;1578811;1578884;1578906;1578910;1578936;1578952;1579004;1579007;1579027;1579033;1579060;1579079;1579080;1579092;1579101;1579119;1579125;1579261;1579264;1579295;1579300;1579312;1579313
2,General messaging (broad tag),99,13.5,1573882;1573910;1574000;1574200;1574237;1574245;1574286;1574325;1574383;1574775;1574837;1574900;1574907;1574914;1574978;1575073;1575074;1575086;1575100;1575128;1575191;1575199;1575306;1575355;1575369;1575388;1575446;1575514;1575660;1575666;1575729;1575735;1575736;1575812;1575936;1575982;1576003;1576008;1576042;1576128;1576155;1576161;1576218;1576381;1576450;1576513;1576526;1576596;1576723;1576840;1576874;1576885;1576905;1576906;1576927;1576962;1577029;1577106;1577170;1577190;1577208;1577282;1577348;1577374;1577460;1577558;1577559;1577590;1577625;1577673;1577777;1577825;1577850;1577866;1578000;1578040;1578175;1578180;1578427;1578437;1578466;1578497;1578609;1578694;1578708;1578720;1578728;1578805;1578806;1578899;1578927;1578928;1578938;1579083;1579107;1579120;1579144;1579290;1579308
3,Customization & UI,82,11.2,1573897;1573905;1573962;1574074;1574083;1574194;1574210;1574213;1574215;1574234;1574313;1574413;1574693;1574929;1574939;1574951;1575043;1575186;1575218;1575273;1575279;1575358;1575449;1575506;1575647;1575663;1575667;1575698;1575734;1575869;1575870;1575943;1575983;1576152;1576181;1576215;1576236;1576385;1576501;1576516;1576538;1576563;1576604;1576695;1576696;1576730;1576753;1576802;1576904;1576961;1577048;1577062;1577096;1577228;1577255;1577463;1577801;1577846;1577853;1577909;1578028;1578135;1578250;1578299;1578328;1578333;1578403;1578474;1578581;1578665;1578702;1578769;1578837;1578864;1578901;1578950;1578968;1579068;1579098;1579118;1579138;1579311
4,Import / Migration / Profiles,58,7.9,1573914;1574165;1574181;1574243;1574250;1574279;1574798;1574886;1574948;1575040;1575142;1575184;1575284;1575349;1575394;1575402;1575445;1575530;1575588;1575807;1575836;1575950;1575978;1576144;1576395;1576438;1576542;1576595;1576694;1576745;1576754;1576970;1577010;1577269;1577317;1577487;1577758;1577841;1577958;1577981;1577989;1577999;1578021;1578046;1578155;1578331;1578354;1578413;1578426;1578545;1578743;1578749;1578810;1578862;1579102;1579154;1579283;1579315
5,Sign-in & Passwords,56,7.6,1574076;1575106;1575221;1575230;1575360;1575384;1575404;1575444;1575496;1575567;1575714;1575857;1575864;1575877;1575996;1576043;1576172;1576496;1576497;1576557;1576583;1576593;1576684;1576737;1576750;1576851;1576883;1576898;1577049;1577059;1577122;1577129;1577134;1577316;1577343;1577388;1577454;1577617;1577654;1577665;1577751;1577847;1577911;1578350;1578655;1578713;1578731;1578857;1578876;1578978;1579114;1579115;1579156;1579253;1579255;1579268
6,Account setup & management,46,6.3,1573887;1573979;1574182;1574193;1574257;1574308;1574385;1574740;1574822;1574943;1575035;1575056;1575107;1575317;1575581;1575631;1575686;1575710;1575743;1575889;1575941;1575972;1576142;1576204;1576432;1576825;1576853;1576931;1577183;1577219;1577221;1577685;1577764;1577839;1577845;1577857;1577885;1578285;1578471;1578666;1578679;1578824;1578888;1578918;1579025;1579112
7,Install & Update,36,4.9,1573898;1573923;1574242;1574310;1574972;1575026;1575129;1575141;1575172;1575311;1575655;1575811;1575900;1576040;1576490;1576491;1576777;1576794;1576991;1577151;1577301;1577411;1577647;1578401;1578450;1578518;1578621;1578627;1578628;1578710;1578789;1578925;1578977;1579026;1579093;1579209
8,Spam & Junk mail,30,4.1,1574209;1574356;1574395;1574794;1574807;1575028;1575029;1575176;1575227;1575240;1575435;1575668;1575705;1576027;1576098;1576565;1576650;1576711;1576917;1576987;1577186;1577252;1577356;1577372;1577481;1578516;1579018;1579052;1579160;1579221
9,Crashes & Performance,26,3.5,1573945;1574063;1574151;1574349;1574949;1574953;1575127;1575166;1575290;1575468;1575602;1575851;1575852;1576580;1576725;1577042;1577256;1577586;1577878;1577879;1578204;1578711;1578725;1578849;1578939;1578982
10,Calendar & Events,25,3.4,1573913;1574053;1574260;1574780;1575111;1575161;1575293;1575722;1576010;1576191;1577025;1577061;1577533;1577580;1577658;1577865;1578088;1578382;1578455;1578850;1578872;1579047;1579202;1579249;1579274
