rank,topic,count,percent_of_total,question_ids
1,Send/Receive issues,245,32.7,1584958;1584976;1584982;1585002;1585025;1585060;1585066;1585136;1585169;1585179;1585180;1585187;1585213;1585216;1585218;1585230;1585233;1585249;1585250;1585266;1585324;1585333;1585354;1585379;1585394;1585457;1585459;1585478;1585519;1585529;1585567;1585586;1585599;1585625;1585686;1585688;1585691;1585704;1585711;1585775;1585796;1585820;1585835;1585873;1585904;1585915;1585922;1585941;1585942;1585968;1586033;1586052;1586055;1586084;1586100;1586104;1586125;1586163;1586174;1586183;1586185;1586189;1586201;1586212;1586239;1586260;1586270;1586285;1586287;1586299;1586345;1586383;1586412;1586416;1586429;1586431;1586477;1586481;1586483;1586494;1586504;1586525;1586530;1586565;1586579;1586583;1586595;1586634;1586646;1586661;1586667;1586686;1586695;1586712;1586715;1586747;1586759;1586760;1586803;1586811;1586849;1586887;1586911;1586920;1586922;1586926;1586980;1587007;1587038;1587045;1587057;1587059;1587065;1587082;1587085;1587106;1587140;1587148;1587151;1587158;1587171;1587177;1587270;1587344;1587417;1587427;1587445;1587455;1587456;1587472;1587498;1587533;1587593;1587622;1587634;1587683;1587684;1587704;1587710;1587732;1587759;1587761;1587810;1587869;1587884;1587934;1587942;1587956;1587981;1587987;1588022;1588053;1588078;1588093;1588144;1588256;1588268;1588327;1588331;1588337;1588338;1588343;1588348;1588384;1588405;1588489;1588600;1588604;1588648;1588650;1588737;1588804;1588835;1588984;1589059;1589064;1589080;1589126;1589173;1589191;1589200;1589202;1589211;1589230;1589299;1589332;1589335;1589340;1589342;1589368;1589380;1589384;1589426;1589454;1589473;1589497;1589517;1589525;1589544;1589555;1589581;1589608;1589617;1589642;1589655;1589662;1589716;1589727;1589743;1589745;1589769;1589782;1589805;1589818;1589874;1589939;1589955;1589960;1589962;1589965;1590008;1590023;1590057;1590066;1590070;1590112;1590121;1590179;1590191;1590207;1590208;1590214;1590272;1590283;1590286;1590307;1590327;1590333;1590363;1590371;1590427;1590453;1590460;1590463;1590481
2,Customization & UI,65,8.7,1584965;1585172;1585174;1585290;1585381;1585491;1585555;1585594;1585629;1585634;1585645;1585784;1585846;1586046;1586049;1586127;1586297;1586305;1586382;1586681;1586969;1587380;1587381;1587384;1587404;1587436;1587437;1587513;1587594;1587606;1587722;1587978;1587980;1588073;1588184;1588227;1588234;1588284;1588351;1588464;1588623;1588626;1588643;1588651;1588933;1589014;1589226;1589281;1589520;1589533;1589609;1589611;1589625;1589685;1589735;1589780;1589876;1589952;1590029;1590091;1590198;1590275;1590385;1590399;1590449
3,Crashes & Performance,61,8.1,1584949;1585108;1585237;1585359;1585412;1585482;1585509;1585530;1585577;1585580;1585616;1585693;1585718;1585757;1585759;1585870;1585929;1586036;1586194;1586206;1586210;1586226;1586238;1586338;1586343;1586376;1586470;1586517;1586561;1586568;1586598;1586892;1587041;1587042;1587098;1587115;1587156;1587491;1587510;1587564;1587569;1587632;1587666;1587674;1587697;1587933;1587970;1588131;1588359;1588488;1588926;1589139;1589293;1589353;1589628;1589641;1590041;1590089;1590376;1590415;1590495
4,General messaging (broad tag),54,7.2,1584950;1584953;1585011;1585052;1585132;1585201;1585323;1585349;1585548;1585631;1585794;1585938;1585982;1586114;1586175;1586266;1586492;1586630;1586751;1586778;1586831;1586981;1587155;1587256;1587409;1587575;1587701;1587774;1587880;1588012;1588102;1588143;1588251;1588504;1588609;1589081;1589114;1589127;1589272;1589325;1589482;1589492;1589680;1589841;1589910;1590107;1590178;1590192;1590210;1590253;1590255;1590292;1590312;1590443
5,Sign-in & Passwords,52,6.9,1585088;1585571;1585572;1585653;1585684;1585755;1586129;1586205;1586366;1586513;1586675;1586783;1586878;1586976;1587101;1587132;1587146;1587242;1587570;1587823;1587944;1587952;1588154;1588209;1588237;1588254;1588290;1588519;1588554;1588638;1588683;1588865;1588967;1589025;1589028;1589032;1589071;1589172;1589174;1589221;1589445;1589594;1589639;1589749;1589855;1589864;1590088;1590324;1590329;1590365;1590372;1590446
6,Import / Migration / Profiles,39,5.2,1584963;1585386;1585468;1585517;1585741;1586082;1586271;1586353;1586647;1586843;1586888;1587111;1587244;1587264;1587294;1587432;1587576;1587619;1587693;1587806;1587844;1587963;1588098;1588332;1588433;1589011;1589068;1589138;1589344;1589510;1589545;1589563;1589618;1590033;1590138;1590162;1590176;1590229;1590499
7,Account setup & management,38,5.1,1584960;1585059;1585107;1585119;1585210;1585429;1585644;1585728;1585960;1585983;1586083;1586190;1586256;1586349;1586450;1586710;1587218;1587232;1587972;1588018;1588178;1588335;1588755;1588938;1589159;1589171;1589308;1589324;1589416;1589592;1589710;1590127;1590201;1590217;1590265;1590367;1590393;1590473
8,Install & Update,36,4.8,1584942;1585552;1585964;1586217;1586491;1586758;1586983;1587095;1587103;1587162;1587336;1587467;1587918;1587962;1588255;1588408;1588527;1588547;1588734;1588738;1588974;1589058;1589154;1589242;1589455;1589503;1589542;1589597;1589877;1589944;1589974;1590040;1590062;1590396;1590401;1590497
9,Calendar & Events,32,4.3,1585181;1585372;1585448;1585720;1585786;1586007;1586106;1586162;1586371;1586840;1586987;1587043;1587599;1587939;1588174;1588292;1588345;1588394;1588537;1588710;1588814;1588906;1588968;1589049;1589123;1589152;1589521;1589788;1589811;1590278;1590301;1590359
10,Spam & Junk mail,29,3.9,1585036;1585419;1585423;1585470;1585715;1585743;1586161;1586268;1586409;1586898;1586907;1587204;1587408;1587482;1588232;1588311;1588342;1588441;1588637;1588729;1589086;1589217;1589243;1589394;1589507;1589610;1589901;1590106;1590147
11,Contacts / Address Book,29,3.9,1585069;1585279;1585312;1585465;1585533;1586128;1586283;1586809;1586862;1587010;1587191;1587382;1587424;1587670;1587705;1587754;1588203;1588222;1589179;1589199;1589360;1589376;1589395;1589527;1589557;1589613;1589656;1589657;1589865
12,Security & Encryption,16,2.1,1585326;1585708;1586187;1586405;1586446;1586486;1586603;1586673;1586680;1587170;1589184;1589284;1589339;1589488;1589512;1589652
13,Search & Tags,12,1.6,1585072;1585313;1585474;1586286;1586601;1587330;1587544;1587912;1588235;1588668;1589607;1590189
14,Attachments,12,1.6,1585118;1585164;1586587;1586669;1587025;1587679;1587894;1588176;1588250;1588386;1588709;1590325
15,Uncategorized,11,1.5,1585515;1585739;1585839;1586202;1586204;1586356;1587895;1588875;1589304;1590130;1590251
16,Accessibility,10,1.3,1585260;1586611;1587072;1587164;1587320;1587442;1589001;1589290;1589326;1589601
17,Extensions & Add-ons,9,1.2,1585167;1586928;1587479;1588132;1588378;1589022;1589094;1589097;1589278
