rank,topic,count,percent_of_total,question_ids
1,Send/Receive issues,259,27.0,1568333;1568385;1568390;1568400;1568404;1568509;1568523;1568525;1568528;1568530;1568531;1568533;1568540;1568544;1568619;1568661;1568667;1568669;1568680;1568687;1568701;1568702;1568703;1568704;1568712;1568748;1568759;1568811;1568829;1568833;1568840;1568848;1568859;1568867;1568887;1568896;1568925;1568939;1569000;1569012;1569029;1569042;1569080;1569083;1569084;1569132;1569133;1569142;1569148;1569171;1569196;1569215;1569248;1569330;1569332;1569335;1569343;1569389;1569393;1569410;1569412;1569424;1569434;1569449;1569453;1569464;1569512;1569543;1569560;1569580;1569586;1569597;1569703;1569764;1569790;1569851;1569864;1569921;1569948;1569966;1569978;1569979;1569999;1570025;1570050;1570054;1570057;1570060;1570100;1570122;1570147;1570153;1570156;1570167;1570168;1570170;1570183;1570187;1570191;1570234;1570253;1570266;1570275;1570295;1570321;1570326;1570339;1570341;1570345;1570381;1570402;1570447;1570449;1570473;1570484;1570505;1570557;1570638;1570673;1570713;1570751;1570812;1570819;1570866;1570867;1570925;1570987;1570991;1571006;1571015;1571017;1571020;1571025;1571080;1571138;1571159;1571164;1571220;1571285;1571328;1571344;1571352;1571361;1571382;1571385;1571399;1571429;1571441;1571442;1571447;1571449;1571511;1571527;1571531;1571551;1571567;1571597;1571633;1571642;1571666;1571680;1571697;1571698;1571705;1571706;1571717;1571740;1571754;1571780;1571799;1571816;1571869;1571873;1571885;1571910;1571997;1572016;1572028;1572049;1572051;1572060;1572104;1572186;1572207;1572237;1572288;1572335;1572336;1572343;1572346;1572359;1572414;1572452;1572466;1572497;1572550;1572584;1572594;1572596;1572597;1572610;1572627;1572633;1572638;1572644;1572652;1572655;1572670;1572678;1572731;1572791;1572805;1572816;1572843;1572861;1572907;1572916;1572917;1572925;1572932;1572992;1572993;1572996;1573038;1573040;1573048;1573051;1573069;1573107;1573170;1573173;1573205;1573208;1573298;1573330;1573331;1573341;1573357;1573371;1573427;1573435;1573437;1573469;1573512;1573515;1573637;1573638;1573652;1573679;1573709;1573731;1573735;1573766;1573791;1573848;1573854;1573860;1573868;1573873
2,General messaging (broad tag),119,12.4,1568317;1568383;1568430;1568466;1568579;1568595;1568603;1568611;1568718;1568842;1568851;1568882;1568936;1568938;1569036;1569106;1569119;1569174;1569230;1569281;1569315;1569460;1569536;1569572;1569583;1569626;1569791;1569815;1569833;1570002;1570040;1570079;1570142;1570200;1570246;1570328;1570333;1570338;1570370;1570397;1570412;1570437;1570438;1570475;1570481;1570513;1570520;1570527;1570540;1570559;1570563;1570577;1570603;1570622;1570670;1570691;1570700;1570723;1570727;1570739;1570752;1570906;1571050;1571136;1571147;1571176;1571233;1571277;1571322;1571421;1571481;1571583;1571610;1571649;1571764;1571832;1571871;1571876;1571904;1571927;1571936;1571963;1571967;1572014;1572022;1572070;1572165;1572236;1572302;1572317;1572356;1572358;1572429;1572462;1572547;1572629;1572630;1572716;1572801;1572839;1572974;1572977;1573042;1573252;1573290;1573328;1573362;1573420;1573520;1573522;1573560;1573603;1573644;1573681;1573739;1573744;1573772;1573818;1573847
3,Customization & UI,102,10.6,1568316;1568455;1568488;1568564;1568580;1568663;1568724;1568797;1568871;1568886;1568920;1568923;1568990;1569028;1569111;1569128;1569252;1569271;1569347;1569365;1569451;1569454;1569466;1569486;1569542;1569589;1569655;1569670;1569925;1569990;1569998;1570141;1570148;1570185;1570208;1570221;1570231;1570235;1570279;1570280;1570393;1570396;1570450;1570524;1570548;1570576;1570582;1570614;1570703;1570722;1570735;1570747;1570749;1570808;1570840;1570915;1570933;1571016;1571068;1571190;1571245;1571335;1571343;1571393;1571607;1571619;1571650;1571707;1571741;1571753;1571786;1571787;1571929;1571958;1572068;1572178;1572322;1572328;1572350;1572383;1572436;1572473;1572476;1572551;1572665;1572762;1572876;1572904;1572995;1573001;1573064;1573159;1573186;1573411;1573476;1573571;1573621;1573623;1573635;1573769;1573780;1573863
4,Sign-in & Passwords,89,9.3,1568366;1568372;1568434;1568499;1568506;1568621;1568641;1568879;1568891;1568906;1568912;1568917;1568971;1569025;1569051;1569081;1569115;1569126;1569154;1569155;1569170;1569259;1569349;1569391;1569413;1569448;1569625;1569715;1569724;1569824;1569963;1569995;1570017;1570134;1570166;1570171;1570182;1570205;1570287;1570403;1570406;1570556;1570558;1570611;1570625;1570672;1570692;1570789;1570804;1570815;1570828;1570874;1570932;1570975;1571053;1571079;1571166;1571191;1571205;1571255;1571368;1571372;1571443;1571686;1571757;1571842;1571861;1571900;1571914;1571930;1571950;1572151;1572210;1572312;1572321;1572701;1572773;1572844;1572898;1572966;1572998;1573084;1573146;1573165;1573237;1573240;1573564;1573566;1573590
5,Account setup & management,72,7.5,1568310;1568318;1568353;1568476;1568541;1568617;1568645;1568693;1568911;1568913;1568949;1568970;1569006;1569122;1569143;1569189;1569383;1569398;1569415;1569419;1569472;1569577;1569684;1569730;1569779;1569782;1569787;1569870;1570005;1570056;1570176;1570239;1570249;1570420;1570490;1570560;1570581;1570858;1570903;1570966;1571039;1571065;1571106;1571185;1571211;1571238;1571260;1571262;1571487;1571577;1571768;1571789;1571813;1571882;1571902;1572134;1572184;1572206;1572307;1572439;1572513;1572570;1572571;1572676;1572737;1572755;1573200;1573333;1573337;1573423;1573674;1573774
6,Import / Migration / Profiles,53,5.5,1568321;1568352;1568462;1568473;1568551;1568634;1568675;1568729;1568869;1569004;1569010;1569016;1569021;1569022;1569053;1569473;1569649;1569669;1569763;1569801;1570128;1570352;1570355;1570363;1570426;1570674;1570726;1570756;1570760;1570788;1570863;1571026;1571156;1571448;1571544;1571687;1571744;1571918;1572005;1572169;1572428;1572448;1572534;1572946;1572990;1573175;1573187;1573325;1573431;1573678;1573682;1573727;1573807
7,Install & Update,36,3.8,1568408;1568553;1568646;1569440;1569482;1569582;1569821;1569828;1569949;1570010;1570081;1570120;1570130;1570471;1570521;1570646;1570836;1571124;1571199;1571206;1571624;1571792;1571866;1572058;1572088;1572333;1572531;1572677;1572714;1572984;1573189;1573262;1573295;1573426;1573549;1573858
8,Crashes & Performance,33,3.4,1568344;1568427;1568458;1568892;1569097;1569110;1569218;1569487;1569693;1569838;1570016;1570587;1570909;1570992;1570995;1571253;1571347;1571611;1571773;1571846;1571896;1571995;1572071;1572437;1572461;1572628;1572834;1572855;1572894;1573293;1573407;1573579;1573693
9,Calendar & Events,32,3.3,1568358;1568435;1568468;1568545;1568607;1568674;1568835;1568874;1569086;1569095;1569179;1569211;1569362;1569912;1569924;1570101;1570510;1570594;1571454;1571622;1571683;1571694;1571790;1572027;1572188;1572325;1572687;1573287;1573414;1573504;1573651;1573698
10,Spam & Junk mail,31,3.2,1568326;1568880;1569109;1569157;1569509;1569644;1569826;1570026;1570140;1570372;1570422;1570441;1570544;1571151;1571222;1571282;1571547;1571857;1571980;1572019;1572202;1572218;1572355;1572704;1572821;1572887;1572976;1573150;1573324;1573602;1573667
11,Contacts / Address Book,31,3.2,1568849;1569060;1569121;1569277;1569866;1569958;1569969;1569975;1570164;1570193;1570362;1570416;1570538;1570666;1570907;1571170;1571177;1571215;1571227;1571718;1571962;1572121;1572260;1572600;1573155;1573493;1573576;1573685;1573752;1573825;1573830
12,Attachments,20,2.1,1568888;1569207;1569283;1569920;1570028;1570066;1570091;1570107;1570240;1570268;1571109;1571390;1571506;1571781;1572180;1572722;1572800;1572910;1573785;1573812
13,Accessibility,19,2.0,1568546;1568736;1569057;1569447;1569521;1569534;1569650;1570138;1570139;1570384;1570395;1570499;1570908;1571168;1571286;1572480;1573247;1573403;1573404
14,Security & Encryption,19,2.0,1568632;1568903;1569299;1569305;1569758;1569858;1570151;1570366;1570750;1571081;1571591;1571916;1572076;1572868;1572975;1573147;1573484;1573601;1573628
15,Uncategorized,18,1.9,1569091;1569604;1570214;1570518;1571119;1571135;1571501;1571696;1571973;1572056;1572166;1572219;1572387;1572656;1572911;1573299;1573543;1573614
16,Search & Tags,13,1.4,1569537;1570163;1570452;1571019;1571143;1571693;1571695;1572447;1572931;1572936;1573582;1573620;1573646
17,Extensions & Add-ons,11,1.1,1568690;1568806;1568966;1570629;1571327;1572611;1572624;1572660;1572713;1572952;1573140
18,Donations & Billing,3,0.3,1569062;1569641;1571524
