rank,kudos,views,comments,status,subject,url,post_time
1,4,189,3,new,Pinned Messages - Things to Do,https://connect.mozilla.org/t5/ideas/pinned-messages-things-to-do/idi-p/126021,2026-05-21T10:15:22.072-07:00
2,3,163,3,new,To sort the conditions in a Thunderbird filter's rules,https://connect.mozilla.org/t5/ideas/to-sort-the-conditions-in-a-thunderbird-filter-s-rules/idi-p/126518,2026-05-26T01:37:21.863-07:00
3,3,144,2,new,Option to exclude calendar event emails from search in Thunderbird,https://connect.mozilla.org/t5/ideas/option-to-exclude-calendar-event-emails-from-search-in/idi-p/125325,2026-05-14T14:05:38.212-07:00
4,3,134,2,new,Calendar Print today and forward,https://connect.mozilla.org/t5/ideas/calendar-print-today-and-forward/idi-p/125299,2026-05-14T08:28:43.268-07:00
5,3,252,2,new,Feature Request: Native PST Import Without Requiring Outlook Installation,https://connect.mozilla.org/t5/ideas/feature-request-native-pst-import-without-requiring-outlook/idi-p/125298,2026-05-14T08:16:21.198-07:00
6,2,53,2,new,Show emails from sender,https://connect.mozilla.org/t5/ideas/show-emails-from-sender/idi-p/127021,2026-05-30T21:05:58.622-07:00
7,2,54,2,new,Changing the colour of hyperlinks,https://connect.mozilla.org/t5/ideas/changing-the-colour-of-hyperlinks/idi-p/126987,2026-05-30T12:42:21.926-07:00
8,2,86,2,new,Notifications when only spam is received,https://connect.mozilla.org/t5/ideas/notifications-when-only-spam-is-received/idi-p/126705,2026-05-27T15:37:48.003-07:00
9,2,133,3,new,Mail merger feature,https://connect.mozilla.org/t5/ideas/mail-merger-feature/idi-p/125795,2026-05-20T01:42:55.436-07:00
10,2,136,2,new,Create a Shell API for Thunderbird,https://connect.mozilla.org/t5/ideas/create-a-shell-api-for-thunderbird/idi-p/125726,2026-05-19T08:58:22.242-07:00
11,2,138,2,new,Option to disable drag/drop of calendar appointments,https://connect.mozilla.org/t5/ideas/option-to-disable-drag-drop-of-calendar-appointments/idi-p/125386,2026-05-15T07:51:27.960-07:00
12,2,132,2,new,Thunderbird: Add keyboard shortcut for quick folder navigation,https://connect.mozilla.org/t5/ideas/thunderbird-add-keyboard-shortcut-for-quick-folder-navigation/idi-p/125162,2026-05-12T23:48:13.513-07:00
13,1,50,3,new,Ctrl-Q vs. R,https://connect.mozilla.org/t5/ideas/ctrl-q-vs-r/idi-p/126998,2026-05-30T13:34:38.071-07:00
14,1,139,2,new,Implement an Unified Junk/Spam Folder,https://connect.mozilla.org/t5/ideas/implement-an-unified-junk-spam-folder/idi-p/126519,2026-05-26T02:13:33.444-07:00
15,1,122,2,new,Spam folder not checked by default,https://connect.mozilla.org/t5/ideas/spam-folder-not-checked-by-default/idi-p/126359,2026-05-24T00:44:53.278-07:00
16,1,171,3,new,Include email source data when forwarding spam to [Agency/Gov] reporting addresses,https://connect.mozilla.org/t5/ideas/include-email-source-data-when-forwarding-spam-to-agency-gov/idi-p/126326,2026-05-23T09:06:47.765-07:00
17,1,97,2,new,Thunderbird message pane context menu access key for search,https://connect.mozilla.org/t5/ideas/thunderbird-message-pane-context-menu-access-key-for-search/idi-p/126202,2026-05-22T10:58:57.719-07:00
18,1,107,2,new,Create a local folder to save POP3 emails,https://connect.mozilla.org/t5/ideas/create-a-local-folder-to-save-pop3-emails/idi-p/126050,2026-05-21T13:37:41.846-07:00
19,1,94,2,new,Auto parse contact information,https://connect.mozilla.org/t5/ideas/auto-parse-contact-information/idi-p/125848,2026-05-20T05:41:39.783-07:00
20,1,91,2,new,Clearly separating IRC channels,https://connect.mozilla.org/t5/ideas/clearly-separating-irc-channels/idi-p/125772,2026-05-19T20:24:02.926-07:00
21,1,113,2,new,Option to change the colour of prior emails (Thunderbird),https://connect.mozilla.org/t5/ideas/option-to-change-the-colour-of-prior-emails-thunderbird/idi-p/125412,2026-05-15T20:58:18.318-07:00
22,1,120,2,new,update all folders for the 'number of unread messages indicator' automatically,https://connect.mozilla.org/t5/ideas/update-all-folders-for-the-number-of-unread-messages-indicator/idi-p/125292,2026-05-14T07:26:01.588-07:00
23,1,93,2,new,Alt-Click inline order on message in inbox,https://connect.mozilla.org/t5/ideas/alt-click-inline-order-on-message-in-inbox/idi-p/125239,2026-05-13T19:43:01.138-07:00
24,1,105,2,new,Alt-Click to do inline grouping in Thunderbird inbox,https://connect.mozilla.org/t5/ideas/alt-click-to-do-inline-grouping-in-thunderbird-inbox/idi-p/125238,2026-05-13T19:37:31.528-07:00
25,1,157,1,new,Feature parity for Thunderbird Android,https://connect.mozilla.org/t5/discussions/feature-parity-for-thunderbird-android/td-p/125009,2026-05-11T11:57:09.527-07:00
