rank,topic,count,percent_of_total,question_ids
1,Send/Receive issues,250,31.2,1579345;1579346;1579353;1579412;1579442;1579444;1579457;1579471;1579493;1579634;1579664;1579737;1579761;1579772;1579775;1579790;1579812;1579887;1579925;1579969;1579985;1580052;1580061;1580072;1580084;1580088;1580102;1580106;1580119;1580121;1580138;1580176;1580181;1580187;1580225;1580235;1580249;1580263;1580282;1580299;1580322;1580352;1580355;1580362;1580363;1580383;1580385;1580419;1580423;1580428;1580432;1580436;1580444;1580478;1580494;1580512;1580588;1580613;1580622;1580640;1580665;1580692;1580858;1580861;1580862;1580863;1580864;1580867;1580871;1580877;1580960;1580980;1581001;1581057;1581064;1581089;1581096;1581130;1581135;1581144;1581199;1581222;1581240;1581251;1581275;1581279;1581286;1581289;1581351;1581406;1581426;1581470;1581472;1581474;1581477;1581481;1581503;1581504;1581515;1581524;1581574;1581591;1581600;1581632;1581643;1581677;1581718;1581747;1581762;1581764;1581770;1581806;1581809;1581834;1581844;1581848;1581876;1581894;1581929;1581933;1581960;1581963;1581965;1581995;1582042;1582047;1582078;1582105;1582118;1582122;1582147;1582175;1582179;1582186;1582202;1582259;1582260;1582352;1582355;1582358;1582394;1582421;1582426;1582444;1582447;1582448;1582489;1582506;1582533;1582537;1582623;1582648;1582660;1582679;1582691;1582715;1582719;1582728;1582737;1582753;1582799;1582910;1582920;1582934;1582947;1582971;1582976;1582984;1583013;1583026;1583028;1583033;1583069;1583077;1583125;1583171;1583176;1583184;1583186;1583222;1583245;1583261;1583277;1583289;1583352;1583384;1583421;1583438;1583449;1583456;1583477;1583486;1583530;1583531;1583539;1583554;1583596;1583617;1583660;1583699;1583721;1583744;1583757;1583772;1583774;1583802;1583814;1583821;1583831;1583847;1583852;1583853;1583902;1583915;1583941;1583987;1583994;1584040;1584044;1584045;1584049;1584051;1584069;1584086;1584089;1584110;1584127;1584141;1584158;1584178;1584184;1584191;1584209;1584254;1584278;1584289;1584329;1584338;1584394;1584422;1584544;1584576;1584599;1584637;1584737;1584747;1584757;1584820;1584834;1584853
2,General messaging (broad tag),101,12.6,1579359;1579394;1579438;1579519;1579619;1579690;1579779;1579858;1579923;1579926;1579943;1579975;1579986;1580004;1580162;1580165;1580192;1580228;1580258;1580274;1580300;1580317;1580386;1580486;1580683;1580696;1580842;1580954;1580985;1581009;1581115;1581175;1581228;1581273;1581298;1581303;1581459;1581461;1581629;1581655;1581669;1581717;1581719;1581748;1581763;1581778;1581815;1581890;1581989;1582019;1582101;1582108;1582136;1582185;1582218;1582252;1582299;1582310;1582331;1582372;1582504;1582591;1582664;1582735;1582939;1583001;1583041;1583055;1583095;1583108;1583141;1583218;1583393;1583463;1583652;1583707;1583722;1583736;1583738;1583739;1583779;1583807;1583810;1583845;1583948;1583952;1583958;1583986;1584031;1584038;1584041;1584065;1584091;1584173;1584343;1584400;1584402;1584475;1584742;1584753;1584777
3,Customization & UI,94,11.7,1579404;1579422;1579425;1579461;1579483;1579503;1579676;1579687;1579750;1579758;1579842;1579862;1579927;1579929;1579984;1580037;1580062;1580135;1580156;1580171;1580207;1580306;1580308;1580327;1580460;1580556;1580570;1580645;1580684;1580968;1580978;1580988;1580995;1581138;1581141;1581184;1581242;1581274;1581305;1581363;1581486;1581536;1581589;1581688;1581690;1581835;1581899;1581906;1581931;1582004;1582139;1582152;1582169;1582287;1582451;1582494;1582556;1582698;1582713;1582768;1582899;1582994;1583046;1583048;1583059;1583070;1583206;1583229;1583271;1583381;1583528;1583538;1583541;1583567;1583580;1583586;1583592;1583664;1583686;1583741;1583913;1583944;1584013;1584183;1584246;1584315;1584350;1584356;1584365;1584378;1584553;1584579;1584812;1584863
4,Sign-in & Passwords,66,8.2,1579381;1579464;1579613;1579713;1579753;1579780;1579901;1579957;1580326;1580365;1580409;1580411;1580456;1580525;1580585;1580869;1580965;1581087;1581180;1581362;1581376;1581429;1581543;1581623;1581659;1581697;1581751;1581807;1581858;1581871;1582030;1582077;1582104;1582115;1582159;1582160;1582166;1582189;1582198;1582212;1582293;1582495;1582518;1582543;1582554;1582781;1582876;1582948;1582998;1583014;1583227;1583747;1583755;1583799;1583830;1583882;1583895;1583908;1583909;1584022;1584048;1584115;1584228;1584306;1584310;1584318
5,Import / Migration / Profiles,51,6.4,1579368;1579532;1579600;1579917;1579996;1580014;1580139;1580203;1580301;1580453;1580558;1580601;1580874;1580957;1581022;1581104;1581253;1581281;1581353;1581455;1581581;1581727;1581773;1581817;1581875;1581986;1582214;1582382;1582510;1582580;1582731;1582776;1582786;1582914;1582967;1583094;1583239;1583256;1583395;1583424;1583497;1583542;1583563;1583691;1583896;1583935;1584080;1584323;1584332;1584376;1584864
6,Account setup & management,49,6.1,1579546;1579573;1579699;1580007;1580158;1580240;1580256;1580262;1580280;1580285;1580374;1580393;1580497;1580514;1580595;1580627;1580628;1580856;1580925;1580945;1581152;1581154;1581265;1581290;1581355;1581365;1581404;1581665;1581832;1581912;1581946;1582011;1582015;1582385;1582390;1582754;1582757;1582763;1582922;1582943;1583006;1583119;1583205;1583493;1583801;1583916;1583979;1584490;1584561
7,Spam & Junk mail,33,4.1,1579447;1579540;1579583;1579627;1579784;1579844;1579880;1580085;1580656;1580884;1580990;1581092;1581277;1581300;1581418;1581708;1582383;1582467;1582480;1583278;1583336;1583396;1583692;1583732;1583804;1583826;1583840;1583890;1583982;1584229;1584372;1584405;1584833
8,Crashes & Performance,28,3.5,1579348;1579522;1579766;1579885;1579922;1580539;1580895;1581013;1581322;1581825;1581981;1582014;1582172;1582348;1582681;1582921;1583106;1583165;1583640;1583833;1583959;1584009;1584035;1584094;1584374;1584502;1584543;1584606
9,Install & Update,27,3.4,1579578;1579822;1580452;1580551;1580568;1580643;1581063;1581099;1581193;1581203;1581252;1581266;1581935;1581952;1581968;1582314;1582835;1583267;1583683;1583716;1583756;1584100;1584119;1584134;1584222;1584241;1584336
10,Calendar & Events,26,3.2,1579419;1579654;1579958;1580277;1580369;1580416;1580698;1581100;1581250;1581254;1581357;1581596;1582576;1582585;1582665;1582702;1582808;1583610;1583611;1583817;1584025;1584061;1584145;1584491;1584492;1584729
